"KO01" "KO02" "KO03" "KO04" "KO05x" "KO05" "KO06" "KO07" "KO08" "KO09" "KO10" "KO11" "KO12" "KO13" "KO14" "KO15" "KO16" "KO17" "KO18" "KO19" "KO20" "KO21" "KO22" "KO23" "KO24" "GR01" "GR02" "GR03" "GR04" "RF02" "RF03"
"2,3-Diphosphoglycerate" "5,45E-03" NA "2,62E-02" NA NA NA "1,82E-02" "7,76E-03" NA NA NA "3,36E-03" NA NA "6,75E-03" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "8,32E-03"
"Galacturonate 1-phosphate" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "3,47E-02" NA
"6-Phosphogluconate" NA "7,78E-03" NA NA NA NA NA "1,31E-02" NA NA NA "2,02E-03" NA NA NA NA "4,62E-02" "6,68E-01" "1,59E-02" "1,67E-02" NA NA NA NA NA "8,98E-03" NA NA NA NA NA
"Sedoheptulose-7-phosphate" "1,36E-01" "8,85E-02" "6,78E-02" "2,10E-01" "2,69E+00" "8,69E-01" "1,80E-01" "1,46E-01" "2,72E-01" "1,20E-01" NA "1,87E-01" "1,03E-01" "1,64E-01" "1,79E-01" "1,46E-01" "6,13E-02" "1,26E-01" "3,34E-01" "3,46E-01" "2,65E-01" "1,42E-01" "1,22E-01" "3,43E-01" "1,67E+00" "1,82E-01" "1,54E-01" "1,25E-01" "1,98E-01" "2,16E-01" "1,78E-01"
"Argininosuccinate" "3,78E-02" "4,48E-02" "1,30E-02" NA NA NA "6,36E-02" "5,12E-02" "7,96E-02" NA NA "4,47E-02" "3,03E-02" "2,46E-02" "4,45E-02" NA NA "4,70E-02" "4,43E-02" "3,55E-02" "3,96E-02" NA "4,00E-02" NA NA NA NA NA NA NA "3,68E-02"
"N-Acetylglucosamine 1-phosphate" "3,83E-03" "1,73E-02" "1,07E-02" NA NA NA "7,71E-03" "1,38E-02" "7,81E-03" NA NA "5,09E-03" "2,74E-03" "3,80E-03" "4,35E-03" NA NA "6,74E-03" "7,99E-03" "8,38E-03" "1,12E-02" "5,20E-03" "4,56E-03" "5,97E-03" "7,29E-03" "4,58E-03" "5,26E-03" "6,20E-03" NA NA "6,28E-03"
"Fructose 1,6-diphosphate" "3,07E-02" "1,33E-02" NA NA NA "1,47E-02" "3,07E-02" "2,03E-02" "2,79E-02" NA NA "2,82E-02" "6,59E-03" "6,55E-02" "5,10E-02" NA NA "3,42E-02" "4,69E-01" "5,62E-02" "1,42E-02" "1,26E-02" NA "4,40E-02" "4,93E-02" "1,46E-01" NA NA NA NA "3,12E-02"
"Bis(p-nitrophenyl)phosphate" NA "5,32E-03" NA NA NA NA NA "2,32E-03" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Isobutylamine" "2,10E-02" NA NA "1,39E-02" "1,06E-01" NA NA NA "1,65E-02" "9,82E-02" NA "1,09E-02" "1,79E-02" "2,80E-02" "2,91E-02" "4,38E-02" NA "9,39E-03" NA NA NA "1,22E-02" "1,20E-02" "1,76E-02" "2,32E-02" "1,93E-02" "1,76E-02" "1,69E-02" "1,81E-02" "7,94E-03" "3,38E-02"
"Gly" "9,34E-02" "1,37E-01" "1,58E-01" "4,97E-01" "7,62E-01" "1,65E-01" "2,08E-01" "1,32E-01" "2,50E-01" "2,59E-01" "3,67E-01" "1,45E-01" "1,20E-01" "2,23E-01" "2,12E-01" "5,62E-01" "3,45E-01" "1,15E-01" "1,04E-01" "8,95E-02" "1,52E-01" "2,54E-01" "2,00E-01" "2,68E-01" "1,50E-01" "1,73E-01" "5,06E-01" "2,03E-01" "1,24E+00" "1,68E-01" "1,57E-01"
"Isopropanolamine" "3,15E-02" NA NA NA NA NA NA NA NA NA "8,24E-03" NA NA NA NA NA NA NA NA NA NA "5,71E-03" NA "1,51E-02" "4,70E-03" NA "7,22E-03" "6,29E-03" "6,16E-02" NA NA
"Trimethylamine N-oxide" NA "7,95E-03" NA NA NA NA NA NA NA NA "5,98E-03" NA NA NA NA NA NA NA NA NA NA NA NA NA NA "3,36E-03" "1,59E-03" NA NA NA NA
"Pyridine" "2,13E-03" NA NA "7,90E-03" "2,49E-03" "6,12E-03" NA NA NA "1,92E-03" NA "3,78E-03" "4,95E-03" "4,24E-03" "2,92E-03" "3,75E-03" "4,46E-03" NA NA NA NA NA NA NA NA "3,45E-03" "3,69E-03" "4,45E-03" "2,36E-03" NA "3,34E-03"
"Piperidine" NA "4,48E-03" "3,23E-03" NA NA NA "3,15E-03" "2,17E-03" NA NA "3,21E-03" NA NA NA NA NA NA NA NA NA NA "3,00E-03" NA NA NA "3,82E-03" "2,58E-03" NA "9,87E-04" NA NA
